Reference area,TIME_PERIOD,OBS_VALUE
Germany,2011,4965
Germany,2010,4875
Germany,1998,3911
Germany,1997,3831
Mexico,1999,972.384
Mexico,1998,952.834
Mexico,1997,899.046
Mexico,2022,1332.935
Mexico,2021,1321.559
Mexico,2020,1308.284
Mexico,2019,1278.968
Mexico,2018,1265.655
Mexico,2017,1246.6
Mexico,2016,1235.794
Mexico,2015,1216.797
Mexico,2014,1203.04
Mexico,2013,1203.058
Mexico,2012,1180.502
Mexico,2011,1164.293
Mexico,2010,1148.693
Mexico,1994,893.416
Mexico,1993,870.557
Mexico,2007,1093.084
Mexico,2006,1059.751
Mexico,2005,1057.615
Mexico,2004,1052.467
Mexico,2003,1049.464
Mexico,2002,1015.004
Mexico,2001,1007.744
Mexico,2000,992.063
Mexico,2009,1120.959
Mexico,2008,1106.994
Mexico,1996,904.054
Mexico,1995,914.156
Netherlands,2001,1049
Netherlands,2000,1006
Netherlands,1999,993
Netherlands,2022,1616
Netherlands,2021,1577
Netherlands,2020,1536
Netherlands,2019,1493
Netherlands,2018,1439
Netherlands,2017,1403
Netherlands,2016,1376
Netherlands,2015,1378
Netherlands,2014,1397
Netherlands,2013,1427
Netherlands,2012,1436
Netherlands,1996,901
Netherlands,1995,876
Netherlands,2009,1341
Netherlands,2008,1305
Netherlands,2007,1261
Netherlands,2006,1225
Netherlands,2005,1191
Netherlands,2004,1152
Netherlands,2003,1152
Netherlands,2002,1105
Netherlands,2011,1420
Netherlands,2010,1394
Netherlands,1998,967
Netherlands,1997,933
Ireland,2001,145.226027
Ireland,2000,132.856337
Ireland,1999,121.332618
Ireland,2021,307.093531
Ireland,2020,287.406976
Ireland,2019,290.205587
Ireland,2018,283.484468
Ireland,2017,280.221995
Ireland,2016,273.462503
Ireland,2015,269.43459
Ireland,2014,263.818181
Ireland,2013,260.263603
Ireland,2012,256.80147
Ireland,1996,116.982326
Ireland,1995,107.722079
Ireland,2009,233.488215
Ireland,2008,226.09611
Ireland,2007,217.727897
Ireland,2006,204.385986
Ireland,2005,189.607031
Ireland,2004,179.420088
Ireland,2003,171.613669
Ireland,2002,159.231293
Ireland,2011,254.564022
Ireland,2010,251.998342
Ireland,1998,114.114382
Ireland,1997,116.818428
Costa Rica,2004,52.331
Costa Rica,1993,47.076
Costa Rica,1992,46.166
Costa Rica,1991,43.199
Costa Rica,2022,86.148
Costa Rica,2021,82.554
Costa Rica,2020,85.503
Costa Rica,2019,92.386
Costa Rica,2018,75.602
Costa Rica,2017,74.108
Costa Rica,2016,72.738
Costa Rica,2015,72.057
Costa Rica,2014,83.152
Costa Rica,2013,84.057
Costa Rica,2012,75.097
Costa Rica,2011,73.763
Costa Rica,2010,69.096
Costa Rica,2009,71.805
Costa Rica,2008,64.005
Costa Rica,2007,64.556
Costa Rica,2006,63.08
Costa Rica,2005,63.689
Costa Rica,1988,39.089
Costa Rica,1987,39.846
Costa Rica,2001,59.579
Costa Rica,2000,54.187
Costa Rica,1999,54.266
Costa Rica,1998,60.681
